Booking Value,Ride Distance,fare_per_km,hour,cluster
627.0,13.58,46.17083946980854,8,2
416.0,34.02,12.228101116990004,17,1
737.0,48.21,15.287284795685542,22,1
316.0,4.85,65.15463917525774,9,2
640.0,41.24,15.518913676042676,15,1
136.0,6.56,20.731707317073173,17,0
181.0,19.84,9.122983870967742,16,0
394.0,21.44,18.37686567164179,19,0
836.0,39.55,21.137800252844503,18,3
410.0,34.76,11.795166858457998,15,1
401.0,21.97,18.252162039144288,10,0
264.0,13.64,19.35483870967742,21,0
183.0,4.5,40.666666666666664,6,0
713.0,38.03,18.748356560610045,11,3
113.0,14.53,7.7770130763936685,20,0
495.0,10.23,48.387096774193544,6,2
2847.0,39.21,72.60902830910481,12,3
282.0,8.36,33.73205741626794,5,0
134.0,46.66,2.8718388341191603,14,1
470.0,27.07,17.36239379386775,19,0
187.0,12.16,15.37828947368421,13,0
186.0,10.28,18.09338521400778,3,0
70.0,44.42,1.5758667266996849,15,1
273.0,34.64,7.881062355658199,10,1
251.0,20.91,12.003825920612147,21,0
246.0,8.13,30.258302583025827,0,0
237.0,2.96,80.06756756756756,9,2
379.0,33.04,11.470944309927361,18,1
545.0,44.7,12.192393736017896,22,1
479.0,7.38,64.90514905149051,11,2
647.0,24.93,25.952667468912956,5,0
125.0,25.16,4.968203497615263,10,0
375.0,48.85,7.676560900716479,12,1
310.0,24.41,12.699713232281852,16,0
291.0,3.71,78.4366576819407,12,2
114.0,32.98,3.4566403881140086,11,1
464.0,11.2,41.42857142857143,20,2
160.0,45.4,3.524229074889868,19,1
206.0,28.78,7.157748436414177,21,1
633.0,17.34,36.50519031141869,21,0
717.0,9.38,76.43923240938166,17,2
151.0,11.9,12.6890756302521,21,0
512.0,35.66,14.357823892316322,7,1
1390.0,21.79,63.790729692519506,9,3
224.0,7.86,28.498727735368956,17,0
708.0,18.04,39.246119733924616,16,2
153.0,15.18,10.079051383399209,10,0
72.0,13.38,5.381165919282511,17,0
696.0,30.9,22.524271844660195,2,3
2169.0,44.25,49.016949152542374,12,3
136.0,45.46,2.9916410030796303,13,1
214.0,2.91,73.53951890034364,20,2
835.0,37.57,22.22517966462603,20,3
705.0,40.18,17.54604280736685,18,1
480.0,20.22,23.738872403560833,8,0
707.0,44.76,15.795352993744416,18,1
865.0,43.34,19.958467928011075,20,3
626.0,27.96,22.38912732474964,18,0
443.0,21.19,20.906087777253422,11,0
226.0,47.63,4.7449086710056685,14,1
449.0,24.4,18.401639344262296,16,0
361.0,24.44,14.770867430441898,15,0
235.0,9.2,25.543478260869566,17,0
186.0,28.09,6.621573513705945,15,1
86.0,40.1,2.144638403990025,22,1
234.0,42.5,5.5058823529411764,16,1
758.0,41.42,18.300338000965716,18,3
273.0,31.69,8.61470495424424,19,1
117.0,33.74,3.467694131594546,5,1
955.0,36.82,25.936990765888105,18,3
139.0,38.75,3.587096774193548,15,1
255.0,17.07,14.938488576449911,14,0
1212.0,19.18,63.190823774765384,17,2
81.0,23.93,3.384872544922691,17,0
940.0,29.09,32.31350979718116,17,3
98.0,27.55,3.557168784029038,16,1
724.0,14.0,51.714285714285715,12,2
749.0,47.3,15.83509513742072,16,1
244.0,14.59,16.72378341329678,9,0
585.0,34.14,17.135325131810195,20,1
554.0,31.79,17.4268637936458,10,1
803.0,25.01,32.10715713714514,17,3
388.0,17.56,22.095671981776768,19,0
192.0,48.96,3.9215686274509802,23,1
79.0,32.91,2.4004861744150716,19,1
242.0,45.7,5.295404814004376,18,1
323.0,38.32,8.42901878914405,20,1
799.0,9.1,87.80219780219781,21,2
134.0,49.26,2.720259845716606,16,1
113.0,8.21,13.763702801461632,6,0
81.0,11.94,6.78391959798995,12,0
513.0,49.5,10.363636363636363,6,1
635.0,37.37,16.992239764516995,19,1
242.0,35.38,6.840022611644996,6,1
1114.0,34.81,32.00229819017523,12,3
372.0,20.92,17.782026768642446,23,0
387.0,23.39,16.545532278751605,16,0
767.0,30.82,24.886437378325763,7,3
447.0,21.31,20.976067573908963,14,0
500.0,20.41,24.49779519843214,7,0
446.0,25.94,17.193523515805705,12,0
125.0,39.16,3.1920326864147093,1,1
419.0,23.79,17.612442202606136,21,0
477.0,41.93,11.376103028857619,22,1
352.0,6.71,52.459016393442624,21,2
117.0,15.63,7.485604606525912,14,0
51.0,29.8,1.7114093959731542,12,1
81.0,5.59,14.490161001788909,22,0
51.0,4.44,11.486486486486486,21,0
469.0,26.93,17.415521722985517,18,0
320.0,28.78,11.118832522585128,21,1
726.0,12.98,55.932203389830505,2,2
455.0,43.06,10.56665118439387,20,1
995.0,38.96,25.539014373716633,10,3
1179.0,18.87,62.48012718600953,19,2
525.0,47.88,10.964912280701753,16,1
300.0,5.7,52.63157894736842,22,2
202.0,4.62,43.722943722943725,18,0
475.0,42.26,11.239943208707999,7,1
833.0,19.49,42.73986659825552,19,2
158.0,40.36,3.914767096134787,20,1
155.0,42.59,3.6393519605541202,3,1
107.0,21.68,4.935424354243542,8,0
151.0,29.9,5.050167224080268,16,1
187.0,42.27,4.423941329548143,21,1
1543.0,49.71,31.040032186682758,19,3
432.0,32.56,13.267813267813267,20,1
54.0,31.49,1.714830104795173,15,1
939.0,21.28,44.12593984962406,10,3
829.0,34.14,24.282366725248973,7,3
314.0,20.66,15.198451113262342,17,0
1249.0,24.6,50.77235772357723,21,3
437.0,27.94,15.64065855404438,8,1
83.0,44.57,1.8622391743325106,8,1
1444.0,15.43,93.58392741412833,6,2
1368.0,42.88,31.902985074626862,4,3
418.0,23.31,17.932217932217934,21,0
363.0,31.36,11.575255102040817,19,1
279.0,16.68,16.72661870503597,9,0
332.0,49.06,6.7672238075825515,17,1
448.0,28.34,15.808045165843332,18,0
64.0,38.65,1.6558861578266495,15,1
488.0,41.81,11.671848839990432,2,1
953.0,31.28,30.466751918158568,21,3
965.0,34.5,27.971014492753625,19,3
405.0,13.1,30.916030534351147,16,0
423.0,9.93,42.59818731117825,17,2
264.0,31.93,8.268086439085499,8,1
249.0,34.73,7.16959401094155,9,1
628.0,31.51,19.93018089495398,21,1
190.0,10.27,18.500486854917234,20,0
264.0,46.07,5.730410245278923,8,1
147.0,45.51,3.2300593276203036,10,1
953.0,34.9,27.30659025787966,15,3
654.0,30.87,21.185617103984452,17,3
427.0,37.07,11.51874831400054,8,1
610.0,35.38,17.241379310344826,8,1
648.0,19.61,33.04436511983682,11,0
792.0,23.82,33.249370277078086,18,3
676.0,39.98,16.90845422711356,14,1
389.0,27.16,14.322533136966127,21,0
74.0,48.45,1.5273477812177503,7,1
465.0,25.05,18.562874251497007,20,0
932.0,40.21,23.178313852275554,9,3
191.0,44.48,4.294064748201439,19,1
514.0,16.21,31.708821714990744,19,0
349.0,12.9,27.05426356589147,18,0
267.0,12.22,21.849427168576103,16,0
325.0,3.95,82.27848101265822,17,2
156.0,42.87,3.6389083275017495,19,1
689.0,39.84,17.294176706827308,21,1
304.0,6.18,49.19093851132686,3,2
679.0,47.56,14.276703111858705,19,1
683.0,32.15,21.24416796267496,10,3
91.0,23.5,3.872340425531915,21,0
769.0,18.14,42.39250275633958,16,2
323.0,31.1,10.385852090032154,1,1
134.0,13.99,9.578270192994996,18,0
266.0,36.18,7.3521282476506356,14,1
484.0,13.21,36.638909916729745,20,0
250.0,6.06,41.254125412541256,20,0
224.0,48.08,4.658901830282862,11,1
669.0,39.51,16.932422171602127,11,1
207.0,7.83,26.436781609195403,15,0
227.0,12.34,18.395461912479742,12,0
771.0,36.7,21.00817438692098,1,3
441.0,31.5,14.0,13,1
459.0,46.74,9.82028241335045,21,1
473.0,48.35,9.782833505687694,3,1
503.0,49.87,10.086224182875476,6,1
586.0,22.67,25.84913983237759,15,0
236.0,45.17,5.224706663714855,22,1
73.0,23.07,3.164282618118769,17,0
355.0,4.08,87.00980392156863,8,2
663.0,41.97,15.796997855611151,2,1
886.0,38.82,22.82328696548171,18,3
292.0,30.4,9.605263157894738,19,1
564.0,19.78,28.51365015166835,10,0
619.0,47.2,13.114406779661016,20,1
963.0,17.43,55.24956970740104,9,2
427.0,14.43,29.59112959112959,1,0
60.0,22.92,2.6178010471204187,2,0
697.0,32.15,21.6796267496112,13,3
953.0,43.08,22.12163416898793,11,3
342.0,48.91,6.992435084849724,16,1
935.0,32.46,28.80468268638324,14,3
566.0,11.44,49.47552447552448,19,2
459.0,42.18,10.881934566145093,15,1
401.0,40.16,9.985059760956176,17,1
905.0,15.59,58.050032071840924,2,2
312.0,47.72,6.538139145012574,16,1
103.0,34.36,2.9976717112922002,9,1
425.0,11.93,35.62447611064543,21,0
309.0,42.82,7.216254086875292,17,1
379.0,43.14,8.785350023180342,15,1
623.0,40.59,15.348608031534859,12,1
743.0,20.32,36.56496062992126,18,3
647.0,48.8,13.258196721311476,14,1
1364.0,42.16,32.352941176470594,3,3
890.0,47.98,18.54939558149229,19,3
162.0,46.78,3.463018383924754,18,1
242.0,27.68,8.742774566473988,14,1
342.0,27.62,12.382331643736423,19,0
316.0,17.92,17.63392857142857,16,0
1286.0,30.53,42.12250245660007,21,3
689.0,45.97,14.988035675440505,18,1
504.0,24.06,20.947630922693268,4,0
231.0,9.44,24.470338983050848,9,0
824.0,24.98,32.98638911128903,3,3
478.0,10.78,44.34137291280149,21,2
432.0,40.59,10.643015521064301,14,1
328.0,42.66,7.688701359587436,16,1
156.0,36.13,4.317741489067257,11,1
105.0,44.08,2.382032667876588,11,1
213.0,35.76,5.956375838926175,10,1
620.0,45.0,13.777777777777779,2,1
83.0,45.07,1.8415797648102952,23,1
176.0,49.18,3.5786905246034975,13,1
82.0,14.49,5.659075224292615,11,0
221.0,15.3,14.444444444444445,1,0
901.0,15.53,58.016741790083714,13,2
582.0,27.22,21.381337252020575,21,0
133.0,31.65,4.20221169036335,15,1
508.0,38.25,13.281045751633988,9,1
999.0,12.14,82.28995057660626,22,2
713.0,9.76,73.05327868852459,23,2
96.0,10.63,9.031044214487299,19,0
595.0,15.32,38.838120104438644,19,2
256.0,8.76,29.223744292237445,16,0
449.0,22.4,20.044642857142858,10,0
373.0,12.73,29.30086410054988,19,0
445.0,28.77,15.467500868960723,6,1
486.0,30.28,16.05019815059445,15,1
480.0,40.38,11.88707280832095,11,1
162.0,45.56,3.555750658472344,10,1
964.0,47.18,20.43238660449343,17,3
68.0,46.93,1.4489665459194545,18,1
77.0,43.81,1.7575895914174846,19,1
1596.0,38.53,41.42226836231508,20,3
983.0,33.61,29.2472478429039,19,3
68.0,24.62,2.761982128350934,0,0
493.0,33.8,14.58579881656805,22,1
745.0,32.09,23.21595512620754,19,3
304.0,13.99,21.729807005003575,11,0
402.0,14.13,28.450106157112526,18,0
320.0,34.86,9.179575444635686,16,1
1247.0,43.94,28.37960855712335,4,3
358.0,24.56,14.576547231270359,22,0
86.0,32.14,2.675793403858121,19,1
85.0,43.31,1.9625952435927037,14,1
311.0,30.94,10.051712992889463,13,1
130.0,15.24,8.530183727034121,17,0
367.0,27.38,13.403944485025567,8,0
420.0,4.5,93.33333333333333,13,2
510.0,9.87,51.671732522796354,10,2
83.0,16.5,5.03030303030303,21,0
158.0,41.88,3.772683858643744,3,1
1211.0,32.9,36.808510638297875,20,3
313.0,36.68,8.533260632497274,9,1
97.0,20.38,4.759568204121688,19,0
142.0,47.2,3.0084745762711864,17,1
257.0,10.02,25.64870259481038,21,0
110.0,2.99,36.78929765886287,15,0
585.0,31.32,18.67816091954023,9,1
697.0,36.64,19.022925764192138,16,3
1240.0,47.01,26.37736651776218,11,3
777.0,15.11,51.4228987425546,10,2
95.0,38.26,2.4830109775222167,19,1
484.0,47.12,10.271646859083193,7,1
76.0,42.9,1.7715617715617715,11,1
188.0,35.09,5.3576517526360785,12,1
443.0,45.58,9.719175076788066,16,1
144.0,34.44,4.181184668989547,18,1
118.0,14.3,8.251748251748252,19,0
516.0,13.3,38.796992481203006,16,0
600.0,22.68,26.455026455026456,5,0
339.0,20.88,16.235632183908045,17,0
533.0,28.23,18.88062345023025,23,0
884.0,14.57,60.6726149622512,9,2
446.0,6.69,66.66666666666666,3,2
675.0,10.62,63.55932203389831,20,2
407.0,19.99,20.360180090045024,12,0
219.0,12.04,18.18936877076412,14,0
811.0,43.29,18.734118734118734,20,3
169.0,3.0,56.333333333333336,10,2
379.0,28.36,13.3638928067701,9,1
160.0,5.52,28.985507246376812,10,0
153.0,11.93,12.824811399832356,20,0
369.0,8.8,41.93181818181818,10,2
360.0,19.2,18.75,19,0
828.0,28.84,28.71012482662968,14,3
791.0,33.08,23.911729141475213,8,3
529.0,10.88,48.62132352941176,20,2
306.0,43.4,7.050691244239632,17,1
131.0,15.83,8.275426405559065,8,0
651.0,9.61,67.74193548387098,17,2
984.0,12.52,78.59424920127796,10,2
375.0,27.76,13.508645533141209,21,0
651.0,7.7,84.54545454545455,4,2
415.0,23.21,17.88022404136148,22,0
727.0,29.21,24.888736733995206,11,3
302.0,30.45,9.917898193760262,7,1
1052.0,43.22,24.340583063396576,17,3
921.0,48.69,18.91558841651263,23,3
189.0,25.96,7.280431432973805,13,0
115.0,19.14,6.0083594566353185,13,0
670.0,15.33,43.70515329419439,19,2
751.0,27.13,27.68153335790638,14,3
517.0,16.32,31.67892156862745,16,0
928.0,18.13,51.185879757308335,12,2
336.0,27.52,12.209302325581396,12,0
476.0,4.96,95.96774193548387,6,2
104.0,12.29,8.462164361269325,12,0
579.0,7.29,79.42386831275721,15,2
181.0,44.75,4.044692737430168,12,1
1727.0,46.07,37.48643368786629,16,3
339.0,22.75,14.901098901098901,9,0
833.0,31.3,26.61341853035144,21,3
221.0,11.62,19.01893287435456,5,0
368.0,27.19,13.53438764251563,10,0
770.0,10.34,74.46808510638299,19,2
140.0,5.24,26.717557251908396,17,0
249.0,31.52,7.899746192893401,13,1
163.0,19.44,8.38477366255144,18,0
1764.0,32.47,54.32707114259316,18,3
354.0,39.56,8.948432760364003,15,1
124.0,33.54,3.697078115682767,19,1
537.0,6.69,80.26905829596411,9,2
1316.0,20.15,65.31017369727047,20,2
733.0,21.07,34.78879924062648,17,3
298.0,12.52,23.80191693290735,8,0
858.0,43.87,19.55778436289036,9,3
467.0,32.54,14.351567301782422,16,1
823.0,16.85,48.8427299703264,16,2
413.0,30.16,13.693633952254642,8,1
432.0,46.99,9.193445413917855,13,1
455.0,30.43,14.952349654945778,23,1
450.0,42.68,10.543580131208998,6,1
770.0,20.76,37.090558766859345,11,3
141.0,16.41,8.592321755027422,19,0
212.0,10.89,19.467401285583104,20,0
630.0,49.26,12.789281364190012,17,1
263.0,46.6,5.643776824034335,16,1
807.0,16.76,48.15035799522673,5,2
418.0,45.71,9.144607306935026,9,1
268.0,8.34,32.13429256594724,16,0
773.0,48.84,15.827190827190826,8,1
137.0,34.83,3.9333907550961817,15,1
215.0,27.67,7.770148174918684,19,0
113.0,21.68,5.212177121771218,19,0
343.0,5.27,65.08538899430741,12,2
523.0,15.33,34.11611219830398,15,0
601.0,48.96,12.27532679738562,23,1
2145.0,35.76,59.98322147651007,12,3
313.0,36.19,8.648798010500139,19,1
480.0,18.15,26.446280991735538,8,0
953.0,18.58,51.29171151776104,22,2
440.0,43.05,10.220673635307783,21,1
62.0,42.69,1.4523307566174748,19,1
244.0,48.98,4.981625153123725,12,1
375.0,37.9,9.894459102902376,8,1
499.0,49.3,10.121703853955376,22,1
296.0,18.49,16.00865332612223,7,0
167.0,33.22,5.027092113184828,8,1
407.0,34.2,11.900584795321636,11,1
354.0,30.56,11.583769633507854,19,1
164.0,13.69,11.97954711468225,17,0
392.0,45.56,8.604038630377524,8,1
389.0,42.16,9.22675521821632,13,1
474.0,38.28,12.38244514106583,19,1
